time_iso8601,forks_cumulative
2020-12-14 00:00:00+00:00,1
2021-05-22 00:00:00+00:00,4
2021-05-25 00:00:00+00:00,5
2021-05-31 00:00:00+00:00,6
2021-06-07 00:00:00+00:00,7
2021-06-21 00:00:00+00:00,8
2021-06-29 00:00:00+00:00,9
2021-07-10 00:00:00+00:00,10
2021-10-02 00:00:00+00:00,11
2021-10-09 00:00:00+00:00,12
2021-12-04 00:00:00+00:00,13
2021-12-09 00:00:00+00:00,14
2021-12-26 00:00:00+00:00,15
2022-01-24 00:00:00+00:00,16
2022-02-22 00:00:00+00:00,17
2022-03-11 00:00:00+00:00,18
2022-05-12 00:00:00+00:00,19
2022-05-31 00:00:00+00:00,20
2022-06-10 00:00:00+00:00,21
2022-06-13 00:00:00+00:00,22
2022-06-27 00:00:00+00:00,23
2022-07-05 00:00:00+00:00,24
2022-07-23 00:00:00+00:00,25
2022-08-05 00:00:00+00:00,26
2022-08-20 00:00:00+00:00,27
2022-09-15 00:00:00+00:00,28
2022-09-23 00:00:00+00:00,29
2022-09-28 00:00:00+00:00,30
2022-10-16 00:00:00+00:00,31
2022-10-24 00:00:00+00:00,32
2022-11-08 00:00:00+00:00,33
2022-12-05 00:00:00+00:00,34
2022-12-13 00:00:00+00:00,35
2022-12-15 00:00:00+00:00,36
2023-02-15 00:00:00+00:00,37
2023-02-16 00:00:00+00:00,38
2023-03-19 00:00:00+00:00,39
2023-03-22 00:00:00+00:00,40
2023-03-24 00:00:00+00:00,41
2023-04-10 00:00:00+00:00,42
2023-04-17 00:00:00+00:00,43
2023-04-18 00:00:00+00:00,44
2023-04-20 00:00:00+00:00,45
2023-04-25 00:00:00+00:00,46
2023-05-20 00:00:00+00:00,47
2023-05-26 00:00:00+00:00,48
2023-06-01 00:00:00+00:00,49
2023-06-13 00:00:00+00:00,50
2023-06-16 00:00:00+00:00,51
2023-06-23 00:00:00+00:00,52
2023-06-28 00:00:00+00:00,53
2023-07-06 00:00:00+00:00,54
2023-07-09 00:00:00+00:00,55
2023-07-10 00:00:00+00:00,56
2023-07-13 00:00:00+00:00,57
2023-07-19 00:00:00+00:00,58
2023-07-31 00:00:00+00:00,59
2023-08-02 00:00:00+00:00,60
2023-08-14 00:00:00+00:00,61
2023-09-01 00:00:00+00:00,62
2023-09-26 00:00:00+00:00,63
2023-10-04 00:00:00+00:00,65
2023-10-14 00:00:00+00:00,67
2023-10-15 00:00:00+00:00,68
2023-10-16 00:00:00+00:00,69
2023-10-21 00:00:00+00:00,70
2023-10-23 00:00:00+00:00,71
2023-10-24 00:00:00+00:00,73
2023-10-30 00:00:00+00:00,74
2023-10-31 00:00:00+00:00,77
