time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-29 00:00:00+00:00,12,5,183,54
2024-11-30 00:00:00+00:00,28,7,32,17
2024-12-01 00:00:00+00:00,19,6,57,19
2024-12-02 00:00:00+00:00,714,32,281,50
2024-12-03 00:00:00+00:00,30,12,178,56
2024-12-04 00:00:00+00:00,222,17,417,56
2024-12-05 00:00:00+00:00,55,8,298,58
2024-12-06 00:00:00+00:00,63,12,177,47
2024-12-07 00:00:00+00:00,50,6,41,20
2024-12-08 00:00:00+00:00,6,6,31,15
2024-12-09 00:00:00+00:00,2065,30,273,56
2024-12-10 00:00:00+00:00,85,47,157,50
2024-12-11 00:00:00+00:00,57,12,143,38
2024-12-12 00:00:00+00:00,93,10,167,51
